aaronic,adj
aasvogel,n
abaca,n
aback,adj
abaddon,n
abandon,v
abase,v
abash,v
abate,v
abbey,n
abbot,n
abbreviate,v
abdicate,v
abduct,v
abberation,n
abettor,n
abeyance,n
abhor,v
abhorrent
abject,adj
