abut,v
abysmal,adj
abyss,n
accede,v
accessory,n/adj
acclimate,v
accilivity,
accolade,n
accompany,v
accomplice,n
accomplish,
accomplished,
accord,n/v
accost,v
accoutre,v
accretion,n
accrue,v
acerbity,n
acidulous,adj
acknowledge,v
